"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
<<<<<<< HEAD
"3","Vitamin D (nmol/L)","Telomeres Year 1","472","32.57","54.86","0.01","-0.01","-0.02 (-0.14, 0.11)","0.81","0.89","0","-0.04","-0.05 (-0.17, 0.07)","0.44","0.92"
"4","","Telomeres Year 2","519","32.56","55.49","-0.35","-0.33","0.02 (-0.11, 0.15)","0.76","0.89","-0.21","-0.24","-0.03 (-0.15, 0.09)","0.64","0.92"
"5","","Telomere Change Year 1 and Year 2","403","32.59","55.47","-0.35","-0.37","-0.02 (-0.15, 0.11)","0.74","0.89","0.2","0.14","-0.06 (-0.2, 0.07)","0.36","0.9"
"6","","","","","","","","","","","","","","",""
"7","Log ferritin","Telomeres Year 1","472","2.57","3.91","-0.01","0.01","0.02 (-0.13, 0.16)","0.85","0.89","-0.02","-0.03","-0.01 (-0.17, 0.15)","0.89","0.94"
"8","","Telomeres Year 2","519","2.54","3.82","-0.48","-0.32","0.16 (-0.09, 0.42)","0.2","0.74","-0.45","-0.23","0.22 (-0.03, 0.47)","0.08","0.41"
"9","","Telomere Change Year 1 and Year 2","403","2.53","3.86","-0.52","-0.43","0.09 (-0.22, 0.39)","0.59","0.89","0.19","0.16","-0.03 (-0.19, 0.13)","0.73","0.92"
"10","","","","","","","","","","","","","","",""
"11","Log sTfR","Telomeres Year 1","472","1.29","1.68","0","0","0 (0, 0)","1","1","-0.17","-0.06","0.11 (-0.19, 0.42)","0.48","0.92"
"12","","Telomeres Year 2","519","1.3","1.7","-0.32","-0.38","-0.06 (-0.16, 0.04)","0.27","0.74","-0.22","-0.26","-0.04 (-0.15, 0.06)","0.39","0.9"
"13","","Telomere Change Year 1 and Year 2","403","1.3","1.69","-0.41","-0.31","0.1 (-0.23, 0.44)","0.56","0.89","0.17","0.18","0.01 (-0.1, 0.13)","0.84","0.93"
"14","","","","","","","","","","","","","","",""
"15","Log RBP","Telomeres Year 1","472","0.13","0.52","-0.03","0.06","0.09 (-0.05, 0.22)","0.2","0.74","-0.08","0.06","0.14 (-0.06, 0.33)","0.18","0.62"
"16","","Telomeres Year 2","519","0.13","0.51","-0.38","-0.25","0.13 (-0.14, 0.39)","0.35","0.74","-0.26","-0.21","0.05 (-0.22, 0.32)","0.73","0.92"
"17","","Telomere Change Year 1 and Year 2","403","0.14","0.52","-0.33","-0.37","-0.04 (-0.17, 0.08)","0.54","0.89","0.28","0.18","-0.1 (-0.22, 0.02)","0.1","0.41"
=======
"3","Vitamin D","Telomere Length Year 1","472","32.57","54.86","0.01","-0.01","-0.02 (-0.14, 0.11)","0.81","0.89","0","-0.04","-0.05 (-0.17, 0.07)","0.44","0.92"
"4","","Telomere Length Year 2","519","32.56","55.49","-0.35","-0.33","0.02 (-0.11, 0.15)","0.76","0.89","-0.21","-0.24","-0.03 (-0.15, 0.09)","0.64","0.92"
"5","","Change in Telomere Length Year 1 and Year 2","403","32.59","55.47","-0.35","-0.37","-0.02 (-0.15, 0.11)","0.74","0.89","0.2","0.14","-0.06 (-0.2, 0.07)","0.36","0.9"
"6","","","","","","","","","","","","","","",""
